img_id,Group_ID,Rating_1,Rating_2,Rating_3,Rating_4,Rating_5,
img_0000.png,0,0,0,0,0,0,
img_0001.png,0,0,0,0,0,0,
img_0002.png,0,1,2,2,2,2,
img_0003.png,0,0,2,2,0,0,
img_0004.png,0,1,1,1,1,1,
img_0005.png,0,2,2,2,2,2,
img_0006.png,0,0,1,1,1,0,
img_0007.png,0,1,2,2,2,1,
img_0008.png,0,1,1,2,1,1,
img_0009.png,0,2,1,1,1,1,
img_0010.png,0,2,2,2,2,2,
img_0011.png,0,0,0,1,0,0,
img_0012.png,0,0,1,2,1,0,
img_0013.png,0,2,2,2,2,2,
img_0014.png,0,0,1,1,0,0,
img_0015.png,0,0,0,1,0,0,
img_0016.png,0,2,1,1,1,1,
img_0017.png,0,2,1,1,1,1,
img_0018.png,0,2,2,2,2,2,
img_0019.png,0,2,2,2,2,2,
img_0020.png,0,0,0,0,0,0,
img_0021.png,0,2,2,2,2,2,
img_0022.png,0,2,2,2,2,2,
img_0023.png,0,0,0,0,0,0,
img_0024.png,0,2,2,2,2,2,
img_0025.png,0,0,1,1,1,0,
img_0026.png,0,2,2,2,2,2,
img_0027.png,0,0,0,0,0,0,
img_0028.png,0,0,0,0,0,0,
img_0029.png,0,0,1,1,1,0,
img_0030.png,0,0,1,1,0,0,
img_0031.png,0,0,1,1,1,0,
img_0032.png,0,1,1,1,1,1,
img_0033.png,0,1,2,2,1,1,
img_0034.png,0,0,0,0,0,0,
img_0035.png,0,0,0,0,0,0,
img_0036.png,0,2,2,2,2,2,
img_0037.png,0,0,0,0,0,0,
img_0038.png,0,2,2,2,2,2,
img_0039.png,0,0,0,0,0,0,
img_0040.png,0,2,2,2,2,2,
img_0041.png,0,0,0,0,0,0,
img_0042.png,0,0,0,0,0,0,
img_0043.png,0,0,1,1,0,0,
img_0044.png,0,0,0,0,0,0,
img_0045.png,0,1,1,1,1,1,
img_0046.png,0,0,1,1,0,0,
img_0047.png,0,0,1,1,0,0,
img_0048.png,0,0,1,0,0,0,
img_0049.png,0,0,1,1,0,0,
img_0050.png,0,1,1,1,1,1,
img_0051.png,0,0,0,0,0,0,
img_0052.png,0,0,0,0,0,0,
img_0053.png,0,2,2,2,2,2,
img_0054.png,0,0,0,0,0,0,
img_0055.png,0,1,1,1,1,1,
img_0056.png,0,0,0,0,0,0,
img_0057.png,0,2,2,2,2,2,
img_0058.png,0,0,0,0,0,0,
img_0059.png,0,1,1,1,1,1,
img_0060.png,0,1,2,2,2,1,
img_0061.png,0,2,2,2,2,2,
img_0062.png,0,1,1,1,1,1,
img_0063.png,0,0,0,0,0,0,
img_0064.png,0,2,2,2,2,2,
img_0065.png,0,0,1,1,0,0,
img_0066.png,0,1,1,1,1,0,
img_0067.png,0,1,1,1,1,1,
img_0068.png,0,0,1,1,0,1,
img_0069.png,0,0,1,1,0,1,
img_0070.png,0,2,2,2,2,2,
img_0071.png,0,0,1,1,1,1,
img_0072.png,0,1,2,1,1,1,
img_0073.png,0,1,1,1,2,1,
img_0074.png,0,0,1,1,1,1,
img_0075.png,0,0,0,0,0,0,
img_0076.png,0,2,2,2,2,2,
img_0077.png,0,0,0,0,0,0,
img_0078.png,0,2,2,2,2,2,
img_0079.png,0,1,1,1,1,1,
img_0080.png,0,2,2,2,2,1,
img_0081.png,0,0,0,0,0,0,
img_0082.png,0,0,0,0,0,0,
img_0083.png,0,2,2,2,2,2,
img_0084.png,0,2,2,2,2,2,
img_0085.png,0,2,1,1,1,2,
img_0086.png,0,2,2,2,2,2,
img_0087.png,0,0,1,1,0,0,
img_0088.png,0,2,2,2,2,2,
img_0089.png,0,0,0,0,0,0,
img_0090.png,0,0,1,1,0,1,
img_0091.png,0,0,1,0,0,0,
img_0092.png,0,0,1,1,1,0,
img_0093.png,0,0,1,1,0,0,
img_0094.png,0,1,1,1,1,1,
img_0095.png,0,2,2,2,2,1,
img_0096.png,0,2,2,2,0,2,
img_0097.png,0,0,0,0,0,0,
img_0098.png,0,0,0,0,0,0,
img_0099.png,0,2,2,2,2,2,
img_0100.png,0,0,1,1,1,0,
img_0101.png,0,0,0,0,0,0,
img_0102.png,0,0,0,0,0,1,
img_0103.png,0,0,0,0,0,0,
img_0104.png,0,0,0,0,0,0,
img_0105.png,0,0,0,0,0,0,
img_0106.png,0,2,2,2,2,1,
img_0107.png,0,0,0,0,0,1,
img_0108.png,0,2,2,2,2,1,
img_0109.png,0,0,0,0,0,0,
img_0110.png,0,0,0,0,0,1,
img_0111.png,0,0,0,0,0,0,
img_0112.png,0,2,2,2,2,2,
img_0113.png,0,0,0,0,2,0,
img_0114.png,0,0,0,0,0,0,
img_0115.png,0,2,2,2,2,2,
img_0116.png,0,0,0,0,0,1,
img_0117.png,0,0,0,0,0,0,
img_0118.png,0,2,2,2,2,2,
img_0119.png,0,1,1,1,1,2,
img_0120.png,0,0,0,0,0,0,
img_0121.png,0,0,0,0,0,0,
img_0122.png,0,2,2,2,2,2,
img_0123.png,0,2,2,2,2,2,
img_0124.png,0,2,2,2,2,2,
img_0125.png,0,0,0,0,0,0,
img_0126.png,0,0,0,0,0,0,
img_0127.png,0,0,0,0,0,1,
img_0128.png,0,0,0,0,0,0,
img_0129.png,0,1,1,1,1,1,
img_0130.png,0,0,0,0,0,0,
img_0131.png,0,2,2,2,2,2,
img_0132.png,0,0,0,0,0,0,
img_0133.png,0,2,2,2,2,2,
img_0134.png,0,0,0,0,0,0,
img_0135.png,0,0,0,0,0,0,
img_0136.png,0,0,0,0,0,0,
img_0137.png,0,0,0,0,0,0,
img_0138.png,0,1,1,1,1,0,
img_0139.png,0,0,0,0,0,0,
img_0140.png,0,0,0,0,0,0,
img_0141.png,0,1,1,1,1,1,
img_0142.png,0,1,1,1,1,1,
img_0143.png,0,2,2,2,2,1,
img_0144.png,0,0,0,0,0,0,
img_0145.png,0,1,1,1,1,1,
img_0146.png,0,2,2,2,2,1,
img_0147.png,0,0,0,0,0,0,
img_0148.png,0,0,0,0,0,0,
img_0149.png,0,0,0,0,0,0,
img_0150.png,0,2,2,2,2,2,
img_0151.png,0,2,2,2,2,2,
img_0152.png,0,2,2,2,2,2,
img_0153.png,0,0,0,0,0,0,
img_0154.png,0,1,1,1,1,1,
img_0155.png,0,2,2,2,2,2,
img_0156.png,0,0,0,0,0,0,
img_0157.png,0,0,0,0,0,0,
img_0158.png,0,0,0,0,0,0,
img_0159.png,0,2,2,2,2,0,
img_0160.png,0,2,2,2,2,2,
img_0161.png,0,2,2,2,2,2,
img_0162.png,0,0,0,0,0,0,
img_0163.png,0,0,0,0,0,0,
img_0164.png,0,0,0,0,0,0,
img_0165.png,0,2,2,2,2,2,
img_0166.png,0,0,0,0,0,0,
img_0167.png,0,2,2,2,2,1,
img_0168.png,0,2,2,2,2,2,
img_0169.png,0,0,0,0,0,0,
img_0170.png,0,2,2,2,2,2,
img_0171.png,0,2,2,2,2,2,
img_0172.png,0,2,2,2,2,2,
img_0173.png,0,2,2,2,2,2,
img_0174.png,0,2,2,2,2,2,
img_0175.png,0,0,0,0,0,0,
img_0176.png,0,2,2,2,2,2,
img_0177.png,0,2,2,2,2,2,
img_0178.png,0,0,0,0,0,0,
img_0179.png,0,0,0,0,0,0,
img_0180.png,0,0,0,0,0,0,
img_0181.png,0,2,2,2,2,2,
img_0182.png,0,0,0,0,0,0,
img_0183.png,0,2,2,2,2,2,
img_0184.png,0,2,2,2,2,2,
img_0185.png,0,1,1,1,1,2,
img_0186.png,0,2,2,2,2,2,
img_0187.png,0,0,0,0,0,1,
img_0188.png,0,2,2,2,2,2,
img_0189.png,0,0,0,0,0,0,
img_0190.png,0,0,0,0,0,0,
img_0191.png,0,1,1,1,1,1,
img_0192.png,0,2,2,2,2,2,
img_0193.png,0,0,0,0,0,0,
img_0194.png,0,2,2,2,2,2,
img_0195.png,0,2,2,2,2,2,
img_0196.png,0,0,0,0,0,0,
img_0197.png,0,2,2,2,2,2,
img_0198.png,0,1,1,1,1,1,
img_0199.png,0,2,2,2,2,2,
img_0200.png,0,0,0,0,0,0,
img_0787.png,G,0.0,0.0,0.0,1.0,,
img_0788.png,G,1.0,1.0,1.0,1.0,,
img_0789.png,G,2.0,2.0,2.0,2.0,,
img_0790.png,G,0.0,0.0,0.0,0.0,,
img_0791.png,G,1.0,1.0,1.0,1.0,,
img_0792.png,G,2.0,2.0,2.0,2.0,,
img_0793.png,G,1.0,2.0,2.0,2.0,,
img_0794.png,G,1.0,1.0,1.0,1.0,,
img_0795.png,G,1.0,2.0,2.0,2.0,,
img_0796.png,G,0.0,0.0,0.0,0.0,,
img_0797.png,G,1.0,1.0,1.0,1.0,,
img_0798.png,G,0.0,0.0,0.0,0.0,,
img_0799.png,G,0.0,0.0,1.0,0.0,,
img_0800.png,G,0.0,0.0,0.0,0.0,,
img_0801.png,G,1.0,1.0,1.0,1.0,,
img_0802.png,G,2.0,2.0,2.0,2.0,,
img_0803.png,G,1.0,1.0,1.0,2.0,,
img_0804.png,G,2.0,2.0,2.0,2.0,,
img_0805.png,G,0.0,0.0,0.0,0.0,,
img_0806.png,G,2.0,2.0,2.0,2.0,,
img_0807.png,G,1.0,0.0,1.0,1.0,,
img_0808.png,G,2.0,2.0,2.0,2.0,,
img_0809.png,G,0.0,0.0,0.0,0.0,,
